piratesofersatz_01_leinster_64kb_f000001|The pirates of ersatz by Murray Leinster. Chapter 1.|The pirates of ersatz by Murray Leinster. Chapter one.
piratesofersatz_12_leinster_64kb_f000054|and now he was responsible for the employment of innumerable bookkeepers and clerks and such in the insurance companies he'd come to own.|and now he was responsible for the employment of innumerable bookkeepers and clerks and such in the insurance companies he'd come to own.
piratesofersatz_12_leinster_64kb_f000055|There was also the fact that as the emigrant fleet went on, some fifty more planets in all would require the attention of pirate ships from time to time,|There was also the fact that as the emigrant fleet went on, some fifty more planets in all would require the attention of pirate ships from time to time,
piratesofersatz_12_leinster_64kb_f000056|or there would be disillusionment and injury to the economic system.|or there would be disillusionment and injury to the economic system.
piratesofersatz_12_leinster_64kb_f000057|Organization, said his grandfather, does wonders for a tender conscience like you've got. What else?|Organization, said his grandfather, does wonders for a tender conscience like you've got. What else?
piratesofersatz_12_leinster_64kb_f000058|Hoddan explained the matter of his Darthian crew. Don Loris might affect to consider them disgraced because they hadn't cut his throat.|Hoddan explained the matter of his Darthian crew. Don Loris might affect to consider them disgraced because they hadn't cut his throat.
piratesofersatz_12_leinster_64kb_f000059|Hoddan had to take care of the matter. And there was Nedda. Fani came into the story somehow, too. Hoddan's grandfather grunted, at the end.|Hoddan had to take care of the matter. And there was Nedda. Fani came into the story somehow, too. Hoddan's grandfather grunted, at the end.
piratesofersatz_12_leinster_64kb_f000060|We'll go down and talk to this Don Loris, he said pugnaciously. I've dealt with his kind before. While we're down, your Cousin Oliver'll take a look at this new grid-field job.|We'll go down and talk to this Don Loris, he said pugnaciously. I've dealt with his kind before. While we're down, your Cousin Oliver'll take a look at this new grid-field job.
piratesofersatz_12_leinster_64kb_f000061|We'll put it on my ship. Hm-m-m — how about the time down below? Never land long after daybreak. Early in the morning, people ain't at their best.|We'll put it on my ship. Hm-m-m - how about the time down below? Never land long after daybreak. Early in the morning, people ain't at their best.
piratesofersatz_12_leinster_64kb_f000062|Hoddan looked at Darth, rotating deliberately below him.|Hoddan looked at Darth, rotating deliberately below him.
piratesofersatz_12_leinster_64kb_f000063|It's not too late, sir, he said. Will you follow me down?|It's not too late, sir, he said. Will you follow me down?
piratesofersatz_12_leinster_64kb_f000064|His grandfather nodded briskly, took another comprehensive look at the loot from Walden, and crawled back through the tube to his own ship.|His grandfather nodded briskly, took another comprehensive look at the loot from Walden, and crawled back through the tube to his own ship.
piratesofersatz_12_leinster_64kb_f000065|So it was not too long after dawn, in that time-zone, when a sentry on the battlements of Don Loris' castle felt a shadow over his head.|So it was not too long after dawn, in that time-zone, when a sentry on the battlements of Don Loris' castle felt a shadow over his head.
piratesofersatz_12_leinster_64kb_f000066|He jumped a foot and stared upward. Then his hair stood up on end and almost threw his steel helmet off. He stared, unable to move a muscle.|He jumped a foot and stared upward. Then his hair stood up on end and almost threw his steel helmet off. He stared, unable to move a muscle.
piratesofersatz_12_leinster_64kb_f000067|There was a ship above him. It was not a large ship, but he could not judge of such matters. It was not supported by rockets.|There was a ship above him. It was not a large ship, but he could not judge of such matters. It was not supported by rockets.
piratesofersatz_12_leinster_64kb_f000068|It should have been falling horribly to smash him under its weight. It wasn't. Instead, it floated on with very fine precision, like a ship being landed by grid,|It should have been falling horribly to smash him under its weight. It wasn't. Instead, it floated on with very fine precision, like a ship being landed by grid,
piratesofersatz_12_leinster_64kb_f000069|and settled delicately to the ground some fifty yards from the base of the castle wall.|and settled delicately to the ground some fifty yards from the base of the castle wall.
piratesofersatz_12_leinster_64kb_f000070|Immediately thereafter there was a muttering roar. It grew to a howl — a bellow; it became thunder. It increased from that to a noise so stupendous that it ceased altogether to be heard,|Immediately thereafter there was a muttering roar. It grew to a howl - a bellow; it became thunder. It increased from that to a noise so stupendous that it ceased altogether to be heard,
piratesofersatz_12_leinster_64kb_f000071|and was only felt as a deep-toned battering at one's chest.|and was only felt as a deep-toned battering at one's chest.
piratesofersatz_12_leinster_64kb_f000072|When it ended there was a second ship resting in the middle of a very large scorched place close by the first.|When it ended there was a second ship resting in the middle of a very large scorched place close by the first.
piratesofersatz_12_leinster_64kb_f000073|Neither of these ships was a spaceboat. The silently landed vessel, which was the smaller of the two, was several times the sizes of the only spacecraft ever seen on Darth outside the spaceport.|Neither of these ships was a spaceboat. The silently landed vessel, which was the smaller of the two, was several times the sizes of the only spacecraft ever seen on Darth outside the spaceport.
piratesofersatz_12_leinster_64kb_f000074|Its design was somehow suggestive of a yacht. The other, larger, ship was blunt and soiled and space-worn, with patches on its plating here and there.|Its design was somehow suggestive of a yacht. The other, larger, ship was blunt and soiled and space-worn, with patches on its plating here and there.
piratesofersatz_12_leinster_64kb_f000075|A landing ramp dropped down from the battered craft. It neatly spanned the scorched and still-smoking patch of soil. A port opened.|A landing ramp dropped down from the battered craft. It neatly spanned the scorched and still-smoking patch of soil. A port opened.
piratesofersatz_12_leinster_64kb_f000076|Men came out, following a jaunty small figure with belligerent gray whiskers. They dragged an enigmatic object behind them.|Men came out, following a jaunty small figure with belligerent gray whiskers. They dragged an enigmatic object behind them.
