hunters_space_01_f000001|HUNTERS OUT OF SPACE By JOSEPH E KELLEAM.|HUNTERS OUT OF SPACE By JOSEPH E KELLEAM.
hunters_space_19_f000013|The plains seemed to shake themselves as a new spring returned to enliven the land and take up its old work of helping life to begat new life.|The plains seemed to shake themselves as a new spring returned to enliven the land and take up its old work of helping life to begat new life.
hunters_space_19_f000014|Out there in empty space, Odin fancied, Death lowered his scythe and smiled and shrugged his lean shoulders as he went away to harvest other suns.|Out there in empty space, Odin fancied, Death lowered his scythe and smiled and shrugged his lean shoulders as he went away to harvest other suns.
hunters_space_19_f000015|Oh, it was a wonderful spring. The trip was over, but what a haggard few had beached the boats at the vast edge of space!|Oh, it was a wonderful spring. The trip was over, but what a haggard few had beached the boats at the vast edge of space!
hunters_space_19_f000016|The few surviving Brons were happy now. Those who had been Grim Hagen's slaves out of their loyalty to Maya were offered anything that they wished.|The few surviving Brons were happy now. Those who had been Grim Hagen's slaves out of their loyalty to Maya were offered anything that they wished.
hunters_space_19_f000017|However, it turned out that most of them wanted little except peace and rest.|However, it turned out that most of them wanted little except peace and rest.
hunters_space_19_f000018|The families of Brons that survived were now building their houses above ground although the Lorens had generously offered them quarters below the city.|The families of Brons that survived were now building their houses above ground although the Lorens had generously offered them quarters below the city.
hunters_space_19_f000019|The Brons wanted no more of caves or tunnels. They preferred to live up there on this world's surface and take their chances with frost and flood.|The Brons wanted no more of caves or tunnels. They preferred to live up there on this world's surface and take their chances with frost and flood.
hunters_space_19_f000020|Opal had been beautiful and wonderful. It had been like living eastward in Eden, but Eden's gardens were no more. And perhaps it would be better to face the elements and meet them head-on instead of seeking shelter.|Opal had been beautiful and wonderful. It had been like living eastward in Eden, but Eden's gardens were no more. And perhaps it would be better to face the elements and meet them head-on instead of seeking shelter.
hunters_space_19_f000021|For time and chance were working everywhere even in Eden and as Gunnar had always said, a fighting heart could carry a man to the last.|For time and chance were working everywhere even in Eden and as Gunnar had always said, a fighting heart could carry a man to the last.
hunters_space_19_f000022|The days and the nights were longer than on earth. The work was long and hard. But the world of the Lorens was being rebuilt.|The days and the nights were longer than on earth. The work was long and hard. But the world of the Lorens was being rebuilt.
hunters_space_19_f000023|And at night, Odin usually set an hour aside to work on his notes.|And at night, Odin usually set an hour aside to work on his notes.
hunters_space_19_f000024|At times he talked with Wolden, although he could never be completely at ease when talking to a light. Nor could he understand half the things that Wolden told him.|At times he talked with Wolden, although he could never be completely at ease when talking to a light. Nor could he understand half the things that Wolden told him.
hunters_space_19_f000025|Wolden quoted formulas on time and space, mass and speed.|Wolden quoted formulas on time and space, mass and speed.
hunters_space_19_f000026|Odin guessed that the belt which he had once used so briefly embodied a No-Time and No-Space factor. But this was beyond him.|Odin guessed that the belt which he had once used so briefly embodied a No-Time and No-Space factor. But this was beyond him.
hunters_space_19_f000027|As for Ato, he grew moodier every day. At last he came to see Maya and Odin one evening. Sitting by the fire for the nights there were chilly he talked to them of his decision.|As for Ato, he grew moodier every day. At last he came to see Maya and Odin one evening. Sitting by the fire for the nights there were chilly he talked to them of his decision.
hunters_space_19_f000028|It was a great fight, he said. And I will always remember it. If Nea had lived, I might have felt differently. But Wolden and the others say that they will not stay here much longer.|It was a great fight, he said. And I will always remember it. If Nea had lived, I might have felt differently. But Wolden and the others say that they will not stay here much longer.
hunters_space_19_f000029|I have decided to go with them. Theirs is a sort of Nirvana, a timeless, dimensionless existence. Yesterday and tomorrow, near and far, are one Maya shivered.|I have decided to go with them. Theirs is a sort of Nirvana, a timeless, dimensionless existence. Yesterday and tomorrow, near and far, are one Maya shivered.
hunters_space_19_f000030|It sounds like a frightening existence. I don't understand it at all. It is as though they had become spirits without dying.|It sounds like a frightening existence. I don't understand it at all. It is as though they had become spirits without dying.
hunters_space_19_f000031|Perhaps, said Ato thoughtfully, looking into the fire. You may be right. But they say it is wonderful to be freed from the shackles of space and time.|Perhaps, said Ato thoughtfully, looking into the fire. You may be right. But they say it is wonderful to be freed from the shackles of space and time.
hunters_space_19_f000032|You remember the belt, Odin? Wolden has merely improved upon it. Soon, I think, I will put on the belt that they brought for me and go forth with them like Laelaps to invade the night.|You remember the belt, Odin? Wolden has merely improved upon it. Soon, I think, I will put on the belt that they brought for me and go forth with them like Laelaps to invade the night.
hunters_space_19_f000033|He paused a minute and then added cautiously, They have brought two more belts with them. For you two, if you should decide Maya shivered.|He paused a minute and then added cautiously, They have brought two more belts with them. For you two, if you should decide Maya shivered.
hunters_space_19_f000034|Odin laughed, as he shook his head. No. I am a man. Just flesh and blood, Ato. And I choose to stay here and take the blows of time.|Odin laughed, as he shook his head. No. I am a man. Just flesh and blood, Ato. And I choose to stay here and take the blows of time.
